params,spot,strike,ratio,sigma,psor,crr,lsmc_mean,lsmc_se,lsmc_lo,lsmc_hi,psor_nodes,psor_steps,binomial_steps,lsmc_paths,lsmc_steps
S/K=0.8;sigma=0.20,80.0,100.0,0.8,0.2,20.57865030921114,20.59053900204348,20.983134659237948,0.2124749726972205,20.558184713843506,21.40808460463239,160,160,128,2000,32
S/K=1.0;sigma=0.20,100.0,100.0,1.0,0.2,7.442620884190017,7.449017407780076,7.767180080382069,0.200985440022377,7.365209200337315,8.169150960426823,160,160,128,2000,32
S/K=1.2;sigma=0.20,120.0,100.0,1.2,0.2,1.9360915413356978,1.9412672562599582,2.1372376415758207,0.11865522561631661,1.8999271903431876,2.374548092808454,160,160,128,2000,32
S/K=0.8;sigma=0.40,80.0,100.0,0.8,0.4,25.621010703279552,25.631929587544782,26.490500475810002,0.42658982540969914,25.637320824990603,27.3436801266294,160,160,128,2000,32
S/K=1.0;sigma=0.40,100.0,100.0,1.0,0.4,15.232226088851927,15.216408970929178,15.861068515673773,0.365537526117981,15.129993463437811,16.592143567909737,160,160,128,2000,32
S/K=1.2;sigma=0.40,120.0,100.0,1.2,0.4,8.75208368057668,8.7862662545223,9.066732541064775,0.289326968757031,8.488078603550713,9.645386478578837,160,160,128,2000,32
