space_nodes,real_time_ms,abs_error
101,0.20437070508588023,0.004463568296902309
161,0.27160530818996265,0.0017441712460879444
201,0.3662393748527393,0.001116356833264831
321,0.9095352568412916,0.0004361138572921419
