payoff,method,std_error,real_time_ms
Asian,PRNG,0.0002930021057419876,564.9599170137662
Asian,QMC,0.00029490114463760265,1362.556207983289
Barrier,PRNG,0.004673455443622399,659.3410419882275
Barrier,QMC,0.0042703923506346815,773.8971670041792
