threads,paths_per_sec,speedup,efficiency
1,13658216.783216773,1.0,1.0
2,13630477.748245053,0.9979690588155106,0.4989845294077553
4,13568336.928942617,0.9934193565894635,0.24835483914736586
8,13650572.641522288,0.9994403265216967,0.12493004081521208
