name,label,category,spot,strike,tenor,vol,rate,dividend,moneyness,moneyness_bucket,tenor_bucket,vol_bucket,price_quant_pricer,price_quantlib,abs_diff,abs_diff_cents,rel_diff,runtime_ms_quant_pricer,runtime_ms_quantlib,runtime_ratio
vanilla_call_atm,Call ATM 6M,vanilla,100.0000000000,100.0000000000,0.5000000000,0.2000000000,0.0200000000,0.0050000000,1.0000000000,0p97_1p03,short_le_0p75y,low_le_0p20,5.9826400000,5.9740241657,0.0086158343,0.8615834347,0.0014422162,5.3264579910,3.3156670106,1.6064514241
barrier_do_call,Down-&-Out Call,barrier,100.0000000000,100.0000000000,1.0000000000,0.2200000000,0.0200000000,0.0000000000,1.0000000000,0p97_1p03,mid_0p75_1p50y,mid_0p20_0p25,7.5758500000,7.5762607152,0.0004107152,0.0410715241,0.0000542108,5.9504589881,0.5482500128,10.8535501125
american_put_psor,American Put,american,95.0000000000,100.0000000000,1.0000000000,0.2000000000,0.0300000000,0.0100000000,0.9500000000,lt_0p97,mid_0p75_1p50y,low_le_0p20,9.4994900000,9.5074775157,0.0079875157,0.7987515700,0.0008401299,19.9218339985,1.4105000009,14.1239517798
