call_put,strike,mid,rate,q,spot,maturity_years
call,330000.0,91.495,0.02,0.0,421.82,0.010958904109589041
call,340000.0,81.505,0.02,0.0,421.82,0.010958904109589041
call,350000.0,71.515,0.02,0.0,421.82,0.010958904109589041
call,352000.0,69.515,0.02,0.0,421.82,0.010958904109589041
call,353000.0,68.52000000000001,0.02,0.0,421.82,0.010958904109589041
call,354000.0,67.525,0.02,0.0,421.82,0.010958904109589041
call,355000.0,66.525,0.02,0.0,421.82,0.010958904109589041
call,356000.0,65.525,0.02,0.0,421.82,0.010958904109589041
call,357000.0,64.525,0.02,0.0,421.82,0.010958904109589041
call,358000.0,63.525,0.02,0.0,421.82,0.010958904109589041
call,359000.0,62.525,0.02,0.0,421.82,0.010958904109589041
call,360000.0,61.525,0.02,0.0,421.82,0.010958904109589041
call,361000.0,60.525,0.02,0.0,421.82,0.010958904109589041
call,362000.0,59.53,0.02,0.0,421.82,0.010958904109589041
call,363000.0,58.535,0.02,0.0,421.82,0.010958904109589041
call,364000.0,57.535,0.02,0.0,421.82,0.010958904109589041
call,365000.0,56.535,0.02,0.0,421.82,0.010958904109589041
call,366000.0,55.535,0.02,0.0,421.82,0.010958904109589041
call,367000.0,54.535,0.02,0.0,421.82,0.010958904109589041
call,368000.0,53.535,0.02,0.0,421.82,0.010958904109589041
call,369000.0,52.535,0.02,0.0,421.82,0.010958904109589041
call,370000.0,51.540000000000006,0.02,0.0,421.82,0.010958904109589041
call,371000.0,50.545,0.02,0.0,421.82,0.010958904109589041
call,372000.0,49.545,0.02,0.0,421.82,0.010958904109589041
call,373000.0,48.545,0.02,0.0,421.82,0.010958904109589041
call,374000.0,47.545,0.02,0.0,421.82,0.010958904109589041
call,375000.0,46.545,0.02,0.0,421.82,0.010958904109589041
call,376000.0,45.545,0.02,0.0,421.82,0.010958904109589041
call,377000.0,44.545,0.02,0.0,421.82,0.010958904109589041
call,378000.0,43.555,0.02,0.0,421.82,0.010958904109589041
call,379000.0,42.555,0.02,0.0,421.82,0.010958904109589041
call,380000.0,41.555,0.02,0.0,421.82,0.010958904109589041
call,381000.0,40.555,0.02,0.0,421.82,0.010958904109589041
call,382000.0,39.555,0.02,0.0,421.82,0.010958904109589041
call,383000.0,38.555,0.02,0.0,421.82,0.010958904109589041
call,384000.0,37.555,0.02,0.0,421.82,0.010958904109589041
call,385000.0,36.565,0.02,0.0,421.82,0.010958904109589041
call,386000.0,35.565,0.02,0.0,421.82,0.010958904109589041
call,387000.0,34.565,0.02,0.0,421.82,0.010958904109589041
call,388000.0,33.565,0.02,0.0,421.82,0.010958904109589041
call,389000.0,32.565,0.02,0.0,421.82,0.010958904109589041
call,390000.0,31.57,0.02,0.0,421.82,0.010958904109589041
call,391000.0,30.575,0.02,0.0,421.82,0.010958904109589041
call,392000.0,29.575,0.02,0.0,421.82,0.010958904109589041
call,393000.0,28.575,0.02,0.0,421.82,0.010958904109589041
call,394000.0,27.575,0.02,0.0,421.82,0.010958904109589041
call,395000.0,26.58,0.02,0.0,421.82,0.010958904109589041
call,396000.0,25.585,0.02,0.0,421.82,0.010958904109589041
call,397000.0,24.585,0.02,0.0,421.82,0.010958904109589041
call,398000.0,23.585,0.02,0.0,421.82,0.010958904109589041
call,399000.0,22.590000000000003,0.02,0.0,421.82,0.010958904109589041
call,400000.0,21.595,0.02,0.0,421.82,0.010958904109589041
call,401000.0,20.595,0.02,0.0,421.82,0.010958904109589041
call,402000.0,19.6,0.02,0.0,421.82,0.010958904109589041
call,403000.0,18.605,0.02,0.0,421.82,0.010958904109589041
call,404000.0,17.605,0.02,0.0,421.82,0.010958904109589041
call,405000.0,16.615000000000002,0.02,0.0,421.82,0.010958904109589041
call,406000.0,15.614999999999998,0.02,0.0,421.82,0.010958904109589041
call,407000.0,14.625,0.02,0.0,421.82,0.010958904109589041
call,408000.0,13.635000000000002,0.02,0.0,421.82,0.010958904109589041
call,409000.0,12.645,0.02,0.0,421.82,0.010958904109589041
call,410000.0,11.655000000000001,0.02,0.0,421.82,0.010958904109589041
call,411000.0,10.675,0.02,0.0,421.82,0.010958904109589041
call,412000.0,9.7,0.02,0.0,421.82,0.010958904109589041
call,413000.0,8.73,0.02,0.0,421.82,0.010958904109589041
call,414000.0,7.775,0.02,0.0,421.82,0.010958904109589041
call,415000.0,6.84,0.02,0.0,421.82,0.010958904109589041
call,416000.0,5.925000000000001,0.02,0.0,421.82,0.010958904109589041
call,417000.0,5.050000000000001,0.02,0.0,421.82,0.010958904109589041
call,418000.0,4.205,0.02,0.0,421.82,0.010958904109589041
call,419000.0,3.43,0.02,0.0,421.82,0.010958904109589041
call,420000.0,2.7300000000000004,0.02,0.0,421.82,0.010958904109589041
put,446000.0,24.555,0.02,0.0,421.82,0.010958904109589041
call,421000.0,2.1100000000000003,0.02,0.0,421.82,0.010958904109589041
call,422000.0,1.59,0.02,0.0,421.82,0.010958904109589041
call,423000.0,1.165,0.02,0.0,421.82,0.010958904109589041
call,424000.0,0.815,0.02,0.0,421.82,0.010958904109589041
call,425000.0,0.555,0.02,0.0,421.82,0.010958904109589041
call,426000.0,0.355,0.02,0.0,421.82,0.010958904109589041
call,427000.0,0.225,0.02,0.0,421.82,0.010958904109589041
call,428000.0,0.135,0.02,0.0,421.82,0.010958904109589041
call,429000.0,0.08499999999999999,0.02,0.0,421.82,0.010958904109589041
call,430000.0,0.055,0.02,0.0,421.82,0.010958904109589041
call,431000.0,0.035,0.02,0.0,421.82,0.010958904109589041
call,432000.0,0.025,0.02,0.0,421.82,0.010958904109589041
call,433000.0,0.015,0.02,0.0,421.82,0.010958904109589041
call,434000.0,0.015,0.02,0.0,421.82,0.010958904109589041
call,435000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,436000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,437000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,438000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,439000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,440000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,441000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,442000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,443000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,444000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,445000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,446000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,447000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,448000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,449000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,450000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,451000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,452000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,453000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,454000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,455000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,456000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,457000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,458000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,459000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,460000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,461000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,462000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,463000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,464000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,465000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,466000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,467000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,468000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,469000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,470000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,471000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,472000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,473000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,474000.0,0.005,0.02,0.0,421.82,0.010958904109589041
call,475000.0,0.005,0.02,0.0,421.82,0.010958904109589041
