trade_date,next_trade_date,label,regime,comment,status,source_today,source_next,iv_rmse_volpts_vega_wt,iv_mae_volpts_vega_wt,iv_p90_bps,price_rmse_ticks,iv_mae_bps,price_mae_ticks
2020-03-16,2020-03-17,stress-covid-a,stress,Limit-down Monday after COVID escalation,ok,sample,sample,0.0012082735250365743,0.0010598900540008645,17.605393563397687,10.631294189563222,10.598736728578272,8.943521043886768
2020-03-17,2020-03-18,stress-covid-b,stress,Follow-through selloff with circuit breakers,ok,sample,sample,0.0012082893359415927,0.0010598808278840608,17.597421641461775,10.82123302438607,10.59883564571703,9.101590889717475
2022-06-13,2022-06-14,calm-inflation-a,calm,Pre-FOMC summer pullback,ok,sample,sample,0.0012082816720515798,0.0010599287773740548,17.60299081122546,14.807701070341281,10.599311577054154,12.39636762388337
2022-06-14,2022-06-15,calm-inflation-b,calm,Gamma squeeze around CPI release,ok,sample,sample,0.001208281278770794,0.0010599601907347,17.603065315168752,14.99830097694296,10.59949271807093,12.553709059964504
2024-06-14,2024-06-17,calm-june,calm,Recent low-vol tape,ok,sample,sample,0.0012083062914642752,0.001059914693753718,17.602208519820472,17.086150990656936,10.599209020201132,14.185698255134398
